CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,GLENDA DINORA GARCIA DELGADO,JULIO CESAR VILLELA AMADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTA A LA CIUDAD,77367402,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",3 AVE 2-25 ZONA 3,49532425,GLENDA DINORA GARCIA DELGADO,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2 CALLE 11-10 ZONA 2,79514215,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3 AVE 6-23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5 CALLE 1-9 ZONA 3,57101061,GLENDA DINORA GARCIA DELGADO,HECOTR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,3 AVE 5-28 ZONA 4,54641454,ARMANDO AUDILIO POP CUCUL,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7 CALLE 11-09 ZONA 6 COBAN,49532425,GLENDA DINORA GARCIA DELGADO,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,3 AVE 1-23 ZONA 4,NA,ARMANDO AUDILIO POP CUCUL,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVE 5-17 ZONA 4,79522555,GLENDA DINORA GARCIA DELGADO,JORGE BENEDICTO COC POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO CANTON LAS CASAS DIAGONAL 8 8-05 ZONA 8,79945251,MARITZA SOEHY MORALES SURUY,GEHU ABRAHAM CAAL MAAS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AVE 2-12 ZONA 1,79545566,GLENDA DINORA GARCIA DELGADO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO EVANGELICO ""LA PATRIA""",FINCA CHIMAXITO ZONA 11,79514440,GLENDA DINORA GARCIA DELGADO,ELIGIO PASTOR GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5 CALLE 2-23 ZONA 4,79514754,GLENDA DINORA GARCIA DELGADO,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5 CALLE 2-23 ZONA 4,79514754,GLENDA DINORA GARCIA DELGADO,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA LIBERTAD""",3 AVE 5-12 ZONA 4,79523696,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""",3 AVE 6-23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3 AVE 6-23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,GLENDA DINORA GARCIA DELGADO,CARLOS OXOM,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",3 AVE 16-16 ZONA 11 BARRIO LA LIBER,44042550,GLENDA DINORA GARCIA DELGADO,HENRI MARCO TULIO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0568-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5 CALLE 1-06 ZONA 3,79510413,GLENDA DINORA GARCIA DELGADO,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7 CALLE 1-13 ZONA 3,79511103,GLENDA DINORA GARCIA DELGADO,WALDEMAR PEREZ OXOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0572-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7 CALLE 1-13 ZONA 3,79511103,GLENDA DINORA GARCIA DELGADO,WALDEMAR PEREZ OXOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0573-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,4 CALLE A 4-32 ZONA 8,77945181,GLENDA DINORA GARCIA DELGADO,ALICIA WINTER CAAL DE ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0574-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2 CALLE 11-10 ZONA 2,47177563,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0583-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO NUEVOS SENDEROS,3 CALLE 3-74 ZONA 3,79417300,GLENDA DINORA GARCIA DELGADO,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0604-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5 CALLE 1-06 ZONA 3,79510413,GLENDA DINORA GARCIA DELGADO,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0609-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCOR,30367501,GLENDA DINORA GARCIA DELGADO,JUAN PASCUAL FRANCISCO LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO HISPANOAMERICANO,1 CALLE 17-41 COMUNIDAD PETET CHIXIC ZONA 12,74725125,GLENDA DINORA GARCIA DELGADO,EDWIN ISMAEL CAAL CÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0612-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,CALZADA IN AJAU ZONA 1,51609883,GLENDA DINORA GARCIA DELGADO,FELIPE CHO TUT,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0613-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",3 AVE 1-23 ZONA 4,79500597,GLENDA DINORA GARCIA DELGADO,MARGARITA VILLALOBOS LIGORRIA DE MENDOZA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0616-46,16-037,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,57655184,JUVENTINA ALVARADO PEREZ,NA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",3 AVE 1-23 ZONA 4,79513444,GLENDA DINORA GARCIA DELGADO,MARGARITA VILLALOBOS LIGORRIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,40071908,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,4 CALLE 6-92 ZONA 11,44042550,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0651-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA,6 AVE 10-68 ZONA 12 COLONIA EL ESFUERZO I,77367652,GLENDA DINORA GARCIA DELGADO,SILVIA ANABELLA RIVERA GARCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0652-46,16-037,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO K AMOLB E,ALDEA NIMLAJACOC,49203582,JUVENTINA ALVARADO PEREZ,JOSE MARIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
